,0,1,2
0,0.658180825,0.004306289,-0.002487088
1,0.640981234,-0.005424549,0.004443301
2,0.628392613,0.005195941,-0.003588559
3,0.623263825,0.00594583,0.00079034
4,0.625158608,-0.004157449,-0.001001155
5,0.632522668,-0.009721955,0.007199282
6,0.638848379,-0.003170095,-0.015678279
7,0.640052647,0.011426815,0.018520554
8,0.628959045,0.002615082,-0.011574122
9,0.611380043,-0.000565436,-0.000814592
10,0.590247812,-8.26E-06,0.009760467
11,0.568272932,-0.008347847,-0.009925073
12,0.549478555,-0.003196403,0.00371786
13,0.532206513,0.005697603,0.002095905
14,0.515159122,0.00826381,-0.003422951
15,0.497046383,0.001242914,0.001710703
16,0.4792516,-0.009407345,0.000155744
17,0.465230903,-0.004321871,-0.000909023
18,0.455967813,0.002076875,0.00195532
19,0.450632188,0.004054044,-0.004686244
20,0.449496366,0.002563914,0.007939729
21,0.451684824,-0.002651085,-0.009033741
22,0.460728874,0.0022812,0.006989925
23,0.475079325,-0.001299539,-0.003779788
24,0.494227756,-0.00629303,0.002065283
25,0.512482689,-0.000298251,-0.002184447
26,0.522570194,0.005501664,0.001928114
27,0.516924976,0.00269135,0.000383655
28,0.494953279,-0.00132886,-0.003624409
29,0.463893591,0.000955804,0.005150604
30,0.431463998,0.001812732,-0.003276723
31,0.406375225,-0.005404403,-0.000970815
32,0.391168525,-0.005550131,0.004381591
33,0.382205573,0.00214866,-0.004354238
34,0.37472525,0.003845989,0.001428757
35,0.364784534,0.004572177,0.000643295
36,0.354451613,0.003849083,0.001699318
37,0.349796433,-0.002125235,-0.007671195
38,0.358954253,-0.010960839,0.012006601
39,0.381795427,-0.012369073,-0.009426339
40,0.415712467,0.014794017,-0.000506477
41,0.448056333,0.019730158,0.012213499
42,0.470276135,-0.011604932,-0.018671205
43,0.487537005,-0.014996345,0.01745935
44,0.498802344,0.002683976,-0.011486311
45,0.510705844,0.014054634,0.005239494
46,0.525726535,-0.004266885,-0.001459669
47,0.551014757,-0.011259229,0.000244494
48,0.588716132,0.011349084,-6.52E-05
49,0.634158841,0.006265223,-0.000424078
50,0.682460324,-0.013310186,0.000849879
51,0.727386682,-0.007548225,0.000161571
52,0.762151786,0.010575829,-0.002727634
53,0.783298873,0.01185816,0.004842979
54,0.793582793,-0.009646348,-0.003936474
55,0.806453928,-0.005787503,-0.000666413
56,0.830697973,0.012199529,0.007102522
57,0.871539138,-0.009535826,-0.012003288
58,0.932434942,-0.014787483,0.012352548
59,1.002966582,0.014608882,-0.007575474
60,1.068929297,0.020844105,0.000226631
61,1.116655779,-0.010965023,0.004309259
62,1.143848642,-0.032800908,-0.00104772
63,1.155314827,0.013245165,-0.008560026
64,1.152288412,0.042213616,0.015498011
65,1.137356495,-0.016466215,-0.010890266
66,1.128919869,-0.03363909,-0.005280746
67,1.133030016,0.001634291,0.025335659
68,1.140628738,0.02075932,-0.041388053
69,1.153880503,0.017467093,0.048652432
70,1.161156561,-0.016720414,-0.044436123
71,1.178084735,-0.006945083,0.028860396
72,1.196230778,-0.008784738,-0.007446092
73,1.219673078,0.000153679,-0.009826719
74,1.246982923,0.028329813,0.014687226
75,1.270519319,-0.003017606,-0.007501722
76,1.293935667,-0.02075739,-0.003178296
77,1.31317276,-0.00294432,0.009771612
78,1.316055128,0.006236135,-0.01229132
79,1.299966196,0.006126536,0.013907321
80,1.265456502,-0.001922822,-0.013533679
81,1.225609711,0.016834507,0.007555782
82,1.187534852,-0.000517334,0.002982539
83,1.163149047,-0.032141871,-0.011007171
84,1.157738217,-0.00874093,0.011002679
85,1.158960556,0.016574851,-0.00553545
86,1.155254562,0.023618366,0.00112702
87,1.141566605,0.008663084,-0.000229713
88,1.125140893,-0.014444413,-0.000696466
89,1.116509457,-0.022640319,0.006130885
90,1.117990762,-0.013286455,-0.014704273
91,1.124461503,0.016642535,0.018895928
92,1.117912656,0.025227462,-0.013140123
93,1.096228448,0.003191671,0.000579905
94,1.06521721,-0.014360289,0.009143022
95,1.03921423,-0.010949628,-0.008264621
96,1.031564016,-0.000755002,-0.000809042
97,1.043649049,0.000259109,0.006091794
98,1.066679785,0.001236271,0.002083997
99,1.085920148,0.013985766,-0.019905872
100,1.092163207,0.006214114,0.031622674
101,1.07593516,-0.021796279,-0.024138909
102,1.051428691,-0.002416816,0.000988077
103,1.021302175,0.018540991,0.020156777
104,0.987977506,-0.003724512,-0.024253015
105,0.963454011,-0.016120344,0.012666311
106,0.943204352,0.006930866,-0.00013523
107,0.923183342,0.017875191,-0.001058535
108,0.899211644,-0.012018949,-0.0071927
109,0.875240231,-0.017396274,0.012156047
110,0.852071494,0.011418647,-0.003490126
111,0.831965027,0.02500941,-0.016974463
112,0.820172809,-0.00652882,0.036356035
113,0.817185136,-0.035877212,-0.041307915
114,0.833558298,0.006791024,0.029650683
115,0.846732225,0.024976096,-0.011708306
116,0.853752212,-0.002743654,-0.001008534
117,0.856360995,-0.012909136,0.006548165
118,0.864503282,0.005755426,-0.010258694
119,0.891010271,0.014027707,0.014962039
120,0.939460886,-0.012478243,-0.016982616
121,1.01699983,-0.018808762,0.011808923
122,1.108848826,0.002237308,-0.00108612
123,1.193276886,0.01541197,-0.008688808
124,1.251613675,0.015671861,0.012714436
125,1.273733811,-0.001398802,-0.012335019
126,1.269729686,-0.023279627,0.013549932
127,1.251503184,-0.011164522,-0.020338633
128,1.235189142,0.024250748,0.030560072
129,1.217429832,0.009780828,-0.037210603
130,1.211089481,-0.013587367,0.032497905
131,1.208218434,-0.014602224,-0.013616262
132,1.207802596,0.013954256,-0.011756814
133,1.200779735,0.011986384,0.02723389
134,1.18214474,-0.021289104,-0.020855651
135,1.165598684,0.006053422,-0.001652149
136,1.150612485,0.018937867,0.020449705
137,1.139146832,-0.017916645,-0.021230164
138,1.144164878,-0.013795454,0.009630562
139,1.161030034,0.012087141,-0.003117218
140,1.182688834,0.017612134,0.00969907
141,1.200065559,-0.010909938,-0.019155664
142,1.215318932,-0.011663604,0.016344701
143,1.222379507,0.007402459,0.000218052
144,1.223951801,0.002280467,-0.01623223
145,1.226407337,0.00606386,0.017528804
146,1.228069893,-0.003201389,-0.004868476
147,1.233721426,-0.015411138,-0.00831025
148,1.243712426,0.005734204,0.01055336
149,1.250081497,0.011996205,-0.002077712
150,1.250368367,-0.001188682,-0.009179676
151,1.245542949,-0.002151189,0.01660823
152,1.233478521,-0.005375392,-0.01810309
153,1.217935806,-0.0016653,0.013729513
154,1.195088629,-0.000396895,-0.004691677
155,1.167231343,0.007334637,-0.004566024
156,1.13323666,0.010223183,0.006540133
157,1.092481114,-0.015853004,0.003371933
